baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
mmu-miR-1258-3p	0.195302404162797	-1.19944470478792	2.16212336002668	-0.284203119686555	0.776254724837591	NA
mmu-miR-125a-5p	52.9307990934562	0.684844568003169	0.409797247665542	0.243735329729526	0.807435809204237	1
mmu-miR-125a-3p	0.500730877621155	-1.67243387791983	2.01075641463751	-0.540827008822307	0.588626824770344	NA
mmu-miR-126a-5p	20.1944952971017	1.46651580073572	0.573245820511156	1.53782769707504	0.124090749551952	0.643595875492482
mmu-miR-126a-3p	27.6320279935562	-0.308753386778544	0.436686194710017	0	1	1
mmu-miR-126b-3p	0.0915352392469641	0	2.16212336002668	0	1	NA
mmu-miR-127-5p	2.49079965485361	0.39773660512252	1.17281861283064	0	1	1
mmu-miR-127-3p	14.18618225914	0.538961531087288	0.583266685202732	0	1	1
mmu-miR-129-1-3p	0.467775123414064	-0.445632255650758	2.05586370865309	0	1	NA
mmu-miR-129-2-3p	0.277959468262395	-0.355109568272185	2.16188096074885	0	1	NA
mmu-miR-1291	0.133328269823566	0.204568559678278	2.16229337438236	0	1	NA
mmu-miR-1306-5p	1.49545578523167	3.05283699572822	1.58954843091788	1.55256326073814	0.120527508507932	0.643595875492482
mmu-miR-1306-3p	0.226630522544547	0.791955803014646	2.16237889102632	0.0957248071337053	0.923739138126427	NA
mmu-miR-130a-5p	3.91908368553788	-1.92838297431458	0.970098352660429	-1.38482914635324	0.166104716418858	0.773471637573951
mmu-miR-130a-3p	325.763312422655	-1.14147117913729	0.723322429183821	-0.769378434793023	0.441668686868476	1
mmu-miR-130b-5p	12.957828280412	1.48886312758052	0.571503990887148	1.58161734873668	0.113736951093016	0.622845208366516
mmu-miR-130b-3p	52.6907644883097	-0.214543571430043	0.44441615767961	0	1	1
mmu-miR-132-5p	0.162701320303346	0	2.16212336002668	0	1	NA
mmu-miR-132-3p	0.664140146656327	0	1.96022803557858	0	1	NA
mmu-miR-134-5p	14.5335310214832	0.862062969496859	0.552920225997181	0.501158134115925	0.616259835964849	1
mmu-miR-134-3p	0.508614179385487	0.459485950187567	2.05962091493992	0	1	NA
mmu-miR-135b-5p	51.7238521087825	-0.284136500892747	0.377893326790826	0	1	1
mmu-miR-135b-3p	1.76980132705154	-1.97369448670311	1.55916361570791	-0.890690349615057	0.373095313415466	1
mmu-miR-136-5p	7.83032863453194	-0.147197298435849	0.670833309067665	0	1	1
mmu-miR-136-3p	39.2513418295944	0.643093490120227	0.399646427465365	0.145456046655411	0.884350816296621	1
mmu-miR-138-1-3p	0.092379765414854	-0.25581670867796	2.16212336002668	0	1	NA
mmu-miR-139-5p	1.06240812723726	0.578427821918295	1.61585999070147	0	1	NA
mmu-miR-140-5p	19.4673819983316	0.674290406469745	0.488175649013402	0.182983124883675	0.854811259455113	1
mmu-miR-140-3p	9.59885267958894	-0.351239940095088	0.821950603283803	0	1	1
mmu-miR-141-5p	1.31485867014379	0.771326769002692	1.59999950493088	0.116477703716281	0.907273955666374	1
mmu-miR-141-3p	15.9177118638695	0.539699221675942	0.578871174381669	0	1	1
mmu-miR-142a-5p	41.1159918985305	-4.29608936325386	0.520124016507778	-7.13508075910433	0.000000000000967303496666633	0.0000000000834299265874971
mmu-miR-142a-3p	22.7396259249999	-4.11782187634909	0.568346280097698	-6.21603325180669	0.000000000509880033050318	0.0000000293181019003933
mmu-miR-143-5p	0.113861412957212	0	2.16212336002668	0	1	NA
mmu-miR-143-3p	14.7630693316079	-0.187802096619664	0.580529690207254	0	1	1
mmu-miR-144-3p	0.197998801251073	0.517469426846698	2.16237507501238	0	1	NA
mmu-miR-145a-5p	4.98735018425929	0.991830988821161	0.903613800831726	0.450268120878085	0.652517122629224	1
mmu-miR-145a-3p	0.904291230950234	0.360891599301669	1.77434190747102	0	1	NA
mmu-miR-146a-5p	5.15811276982682	1.50876481465312	1.25336195032036	0.737059485247535	0.461086175729697	1
