baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
mmu-miR-126a-5p	20.1944952971017	-0.727776799813494	0.436411029285397	-0.327247226831525	0.743480903658219	1
mmu-miR-126a-3p	27.6320279935562	-0.104676908607042	0.377103241185118	0	1	1
mmu-miR-126b-3p	0.0915352392469641	0.345329072787135	2.16229076185593	0	1	NA
mmu-miR-127-5p	2.49079965485361	-2.81191893029644	1.36722819377904	-1.62881107901963	0.103353018606281	NA
mmu-miR-127-3p	14.18618225914	-1.21028662693645	0.872112663342751	-0.717022183600072	0.47336040879715	1
mmu-miR-129-1-3p	0.467775123414064	0	2.07001031000921	0	1	NA
mmu-miR-129-2-3p	0.277959468262395	0	2.16196007490233	0	1	NA
mmu-miR-1291	0.133328269823566	0	2.1622563035789	0	1	NA
mmu-miR-1306-5p	1.49545578523167	-0.579500026910936	1.57002823545695	0	1	NA
mmu-miR-1306-3p	0.226630522544547	0	2.16228498598562	0	1	NA
mmu-miR-130a-5p	3.91908368553788	0.0334440129008839	0.897141047401128	0	1	1
mmu-miR-130a-3p	325.763312422655	0.424016206321073	0.7133041051536	0	1	1
mmu-miR-130b-5p	12.957828280412	0.0516308708257992	0.730241815901607	0	1	1
mmu-miR-130b-3p	52.6907644883097	0.483691748048871	0.468276277095691	0	1	1
mmu-miR-132-5p	0.162701320303346	-0.368885395819937	2.16243388813996	0	1	NA
mmu-miR-132-3p	0.664140146656327	-0.390364213163683	1.85187188885712	0	1	NA
mmu-miR-134-5p	14.5335310214832	-1.10081888572133	1.13926167860947	-0.452798856211687	0.650693587318261	1
mmu-miR-134-3p	0.508614179385487	-1.00273350552264	2.07297669557188	-0.201531935064149	0.840282661084363	NA
mmu-miR-135b-5p	51.7238521087825	0.573703984571395	0.652342461755299	0	1	1
mmu-miR-135b-3p	1.76980132705154	-0.769239091291856	1.77696158787384	-0.103703193039299	0.917404892641401	NA
mmu-miR-136-5p	7.83032863453194	-0.871108668962514	0.757774926511227	-0.377613666314833	0.705717610877588	1
mmu-miR-136-3p	39.2513418295944	-0.923540721430507	0.578220845357819	-0.585551737588825	0.558176789025577	1
mmu-miR-138-1-3p	0.092379765414854	0	2.16222848107395	0	1	NA
mmu-miR-139-5p	1.06240812723726	0.10704617644594	1.47486531541104	0	1	NA
mmu-miR-140-5p	19.4673819983316	0.331135840430587	0.476915592227809	0	1	1
mmu-miR-140-3p	9.59885267958894	0.5450033483474	0.769699976812405	0	1	1
mmu-miR-141-5p	1.31485867014379	1.72937399879175	1.69622327261524	0.674682110867482	0.499877752501691	NA
mmu-miR-141-3p	15.9177118638695	0.708595429445817	0.573031953128559	0.215752242173699	0.829180876718985	1
mmu-miR-142a-5p	41.1159918985305	-1.83189316286205	1.17825670402348	-1.0582843771505	0.289925813269781	1
mmu-miR-142a-3p	22.7396259249999	-2.21204398474356	1.29534442209729	-1.2560995023918	0.209079896537731	1
mmu-miR-143-5p	0.113861412957212	-0.713481491169511	2.16231374379082	-0.0594358662416142	0.95260494641235	NA
mmu-miR-143-3p	14.7630693316079	-0.419858894739791	0.624624768348688	0	1	1
mmu-miR-144-3p	0.197998801251073	-0.499777861386199	2.16231862483151	0	1	NA
mmu-miR-145a-5p	4.98735018425929	-1.92878762404143	1.23471142602978	-1.08837182113179	0.276430995837814	1
mmu-miR-145a-3p	0.904291230950234	-1.45653758449273	1.85296324092344	-0.470368253682797	0.638091941255032	NA
mmu-miR-146a-5p	5.15811276982682	0.689570926345444	0.755838373217851	0.138400522295442	0.889923884257155	1
mmu-miR-146b-5p	6.3486126494685	-1.00043921750566	0.84241223384739	-0.493198816554423	0.621872114004314	1
mmu-miR-147-3p	1.07811907220075	-0.0188455958686233	1.48264145039197	0	1	NA
mmu-miR-148a-3p	15.7014539948318	1.33239969495699	0.564027995589695	1.32517747360108	0.185112294921782	1
mmu-miR-148b-5p	0.345255586449673	-0.0989667236000831	2.11900145986983	0	1	NA
mmu-miR-148b-3p	9.79564826447297	0.822338817716214	0.73919884090347	0.321126473500593	0.748114548937912	1
mmu-miR-149-5p	4.59739786752279	0.3668098992848	0.871295224311457	0	1	1
mmu-miR-150-5p	56.9124527723589	-2.2183054705441	1.23967186374192	-1.31756073328367	0.187650737653389	1
mmu-miR-150-3p	0.49328706219168	0	2.10491125708928	0	1	NA
mmu-miR-151-5p	11.5190770929486	0.538943790573441	0.582878637860092	0	1	1
mmu-miR-151-3p	9.74121879535128	-0.324711892208367	0.588518230992955	0	1	1
mmu-miR-152-3p	6.13446531455547	-0.429094113861796	0.809920054841349	0	1	1
mmu-miR-153-3p	0.542880176573462	0.0218577680124285	1.8711540717004	0	1	NA
mmu-miR-154-5p	2.99140863848587	-1.76056709361192	1.41205467124225	-0.832548920968146	0.405099176786303	NA
mmu-miR-154-3p	29.9270782514042	-3.44962525212876	1.06646949266609	-2.68611786001132	0.00722875848213288	0.155089727434851
mmu-miR-155-5p	0.231308341901905	0	2.16225697468181	0	1	NA
mmu-miR-15a-5p	1.62949247073483	-0.981172211331679	1.2915570479228	-0.306769036062126	0.759019178231503	NA
mmu-miR-15a-3p	2.53959983908857	-0.912477413038307	1.1031387248338	-0.29689367705453	0.766547683627535	NA
mmu-miR-15b-5p	18.1939087964338	1.15513906325109	0.717571139366049	0.794592384294702	0.426850649811108	1
mmu-miR-15b-3p	13.7361957004029	0.927633004175008	0.642857653749117	0.533042581752606	0.594004104240818	1
mmu-miR-16-1-3p	2.35805784031604	-1.81440090394708	1.19813341383216	-1.02612813317144	0.304831190954874	NA
mmu-miR-16-2-3p	6.22542668281099	1.46247322915355	0.87305102076233	1.00510818676573	0.314844758410647	1
mmu-miR-17-5p	498.969615598396	0.47823575230091	0.236927305895732	0	1	1
mmu-miR-17-3p	11.0160651456257	1.03669835567554	0.598027206228921	0.755376762543908	0.450022951926607	1
mmu-miR-181c-5p	25.7049359163828	0.728767006817052	0.486641219025379	0.295504162972262	0.767608772669487	1
mmu-miR-181c-3p	0.185682018135835	0	2.16227563835234	0	1	NA
mmu-miR-181d-5p	3.75732528401525	0.715649674454306	1.11033896137108	0.117700250355778	0.906305168405079	NA
mmu-miR-181d-3p	0.291301053972053	-0.584867312831177	2.13465471270816	0	1	NA
mmu-miR-182-5p	24.1349823640978	-0.255543668079603	0.450124438618256	0	1	1
mmu-miR-182-3p	2.80233965275717	-0.322597282221536	1.13582837730113	0	1	NA
mmu-miR-183-5p	169.830928918256	0.250967876658188	0.304995366440134	0	1	1
mmu-miR-183-3p	6.5646587072238	0.533411289563329	0.769016468532798	0	1	1
mmu-miR-1839-5p	1.98049939407685	-0.84518016746382	1.1664827805305	-0.223078875304375	0.823474119169044	NA
mmu-miR-1839-3p	1.2850415230238	1.41638323844536	1.55133558134359	0.535938676146477	0.592000933390893	NA
mmu-miR-1843a-5p	0.195302404162797	0.262757938483753	2.16232432229468	0	1	NA
mmu-miR-1843b-3p	0.133328269823566	0	2.1622563035789	0	1	NA
mmu-miR-185-5p	6.07648875107928	-0.760533864870485	0.717974945654165	-0.244536895349964	0.806815030762183	1
mmu-miR-186-5p	25.6300290002159	-0.144456077178367	0.411286223415081	0	1	1
mmu-miR-186-3p	0.379132243675701	-0.523913016060732	2.15037149660367	0	1	NA
mmu-miR-187-3p	1.04737773466427	0.708280416494484	1.61144542516368	0.0765262750122623	0.939000410826077	NA
mmu-miR-188-5p	8.55611035223357	-0.509414693590541	0.691822582804894	0	1	1
mmu-miR-188-3p	0.549178167196172	0.746873018391439	1.9261755554538	0.084058027427379	0.933010295749621	NA
mmu-miR-18a-5p	48.0285810584966	0.822390570115705	0.46246226217316	0.513399878897899	0.607671630286278	1
mmu-miR-18a-3p	2.13858265670595	1.29705502364829	1.3369913082674	0.53260819163434	0.594304830440667	NA
mmu-miR-18b-5p	1.99127768217917	0	1.6633442273153	0	1	NA
mmu-miR-18b-3p	1.71901855488166	0	1.74207998734607	0	1	NA
mmu-miR-190a-5p	7.15060091906335	-0.283451929477854	0.932839287938342	0	1	1
mmu-miR-190a-3p	0.800710827817379	0.368540974035043	1.92288021207127	0	1	NA
mmu-miR-191-5p	279.182959926624	0.285823862158477	0.282101290936105	0	1	1
mmu-miR-191-3p	1.58160736657776	0.0276278962619107	1.37434349073601	0	1	NA
mmu-miR-192-5p	3.8591774419133	1.82692604688558	1.0430207438528	1.19073714831093	0.233756789603995	1
mmu-miR-192-3p	0.149399382986421	0.375373079125837	2.16244560545393	0	1	NA
mmu-miR-193a-5p	1.02136823129359	-1.39481000779568	1.56924292017532	-0.516075297624439	0.605801820069932	NA
mmu-miR-193a-3p	0.896739491137187	-1.55463954561184	1.77573883065235	-0.546069629245229	0.585018075475185	NA
mmu-miR-193b-3p	0.635250569537478	-1.31732712386509	1.93168867896837	-0.379131808928473	0.704589986359388	NA
mmu-miR-1946a	0.823857044733462	-1.35440721557402	1.75325177393858	-0.438867210226371	0.660757757028843	NA
mmu-miR-1946b	0.517699701599278	-1.12845570861659	2.05983277899673	-0.263853072655804	0.791893137100105	NA
mmu-miR-1949	48.8663825594805	-2.6203016725358	0.574984662542721	-3.53981471925509	0.000400408034664752	0.0157493826968136
mmu-miR-1955-5p	0.220927900592769	0	2.16228405815478	0	1	NA
mmu-miR-195a-5p	2.84065661213184	-0.707969971046021	1.3400242632769	-0.0917949575211884	0.926860950463271	NA
mmu-miR-195a-3p	0.53512086757259	-0.40451490385443	1.97686028377698	0	1	NA
mmu-miR-196a-1-3p	0.750514726322111	0	1.8575917926932	0	1	NA
mmu-miR-196b-5p	1.07722009165189	2.88587077682121	1.56779402012609	1.46760878442119	0.142210520489947	NA
mmu-miR-1981-5p	0.578693663337258	-1.60794202929008	1.89332281925309	-0.540309089483474	0.58898389098691	NA
mmu-miR-1981-3p	0.840814417826607	0.0987431881696238	1.64461812507254	0	1	NA
mmu-miR-1983	128.81474975648	-1.27932091340547	0.344809048460355	-2.01374765478102	0.0440360339691986	0.577361334262827
mmu-miR-199b-5p	0.612039698146985	-2.11715286672095	1.96760063822742	-0.778710037103931	0.43615054221135	NA
mmu-miR-19a-5p	0.296931891451141	0.360491262456899	2.16249754525756	0	1	NA
mmu-miR-19a-3p	1078.54343349095	1.04795031401785	0.359470128534069	1.28797298174615	0.19775536842005	1
mmu-miR-19b-1-5p	2.57186167251652	0.569894582477274	1.30935348096213	0	1	NA
mmu-miR-19b-2-5p	1.35557490411443	0	1.74208814850243	0	1	NA
mmu-miR-1b-5p	0.126727443854037	-0.713481491169512	2.16231374379082	-0.0594358662416143	0.95260494641235	NA
mmu-miR-200a-5p	1.51900240218377	-0.334881520092369	1.58676914552539	0	1	NA
mmu-miR-200a-3p	12.4123414543098	0.152438153749973	0.649096292286704	0	1	1
mmu-miR-200b-5p	1.41338649951148	-1.79509042688138	1.5567426396596	-0.777346168423085	0.436954563149368	NA
mmu-miR-200b-3p	12.2390150181588	-0.0248843292915689	0.711885017643615	0	1	1
