logFC	AveExpr	t	P.Value	adj.P.Val	B
363	-2.20944561263231	9.48480324754471	-15.6386141396402	0.0000174666973547205	0.00422156472858104	3.90944247696719
806	-1.68118670189831	7.9960651051595	-15.5725274610075	0.000017838967796242	0.00422156472858104	3.87082333545041
4599	1.2124060645924	4.4485475829399	15.5620921699566	0.0000178986127624498	0.00422156472858104	3.62341493295437
1693	-1.97312332462368	6.71998163966174	-15.494458951439	0.0000182910083560703	0.00422156472858104	3.85236526552051
650	-1.16055558032965	6.22947097995779	-15.1582768030772	0.0000204008830652207	0.00452742674178168	3.74253114220705
2882	-1.26551188645198	6.6539240188584	-14.8085647204022	0.0000229115898251858	0.00483312912840746	3.60749103823153
4665	-1.10686257975604	4.43346581793356	-14.7390532874982	0.0000234536595485977	0.00483312912840746	3.40942806637406
312	-1.00882724369833	8.26079738503729	-14.3932961238838	0.0000263887088262701	0.00525044310095097	3.4500085795052
86	-1.27544243794214	7.91968697770364	-14.2277940048347	0.0000279478564668774	0.00537530439379609	3.38778508032876
3283	1.14496805257247	4.4128940879399	13.9446625155133	0.0000308780034696638	0.00574729290386968	3.18374232202003
130	-0.645227203697562	8.9908125323979	-13.6773821723005	0.0000339863382913916	0.00599737773158837	3.18600718948851
3839	-1.39610751231718	4.5769532120803	-13.6520060638365	0.0000343004272343875	0.00599737773158837	3.14194891236377
2850	0.768054567272142	5.535868152192	13.556766248555	0.0000355105458606617	0.00602634851811818	3.20445747121435
309	-0.893781494474906	6.9242547174808	-13.4740528400577	0.0000366030100062969	0.00603426764960951	3.09861322131371
3540	-2.70946891283468	5.2353636328087	-13.3906330649348	0.0000377456473443995	0.00604384241745838	3.0837269779519
1577	-1.84644597737831	8.03863265233667	-13.3193410747369	0.0000387560085694905	0.00604384241745838	3.0375178995858
4969	0.905630107161419	4.29446048048678	13.0906863935627	0.0000422213600297224	0.00639066436297272	2.89272399005533
4872	-1.15864011837706	4.45806511020372	-13.023761626051	0.0000433047159775182	0.00639066436297272	2.91888177043946
