	pausedE141	pausedE142	pausedE143	pausedTS1	pausedTS2	pausedTS3	wtE141	wtE142	wtE143	wtTS1	wtTS2	wtTS3	dICM1	dICM2	dICM3	dTE1	dTE2	dTE3	mICM1	mICM2	mICM3	mTE1	mTE2	mTE3	wtICM1	wtICM2	wtTE1	wtTE2
mmu-miR-21a-5p	5.84499848669799	5.81811536391662	5.01819661338547	7.60420120496205	8.34166804499725	9.048835463060001	6.07366053836244	6.12021756304644	6.6271575981014506	7.1113366306741	6.2716699450823095	6.88569099318563	6.06230665959881	4.9948464028289195	5.29534336752165	4.72004367912658	6.19221240211761	4.799248449166701	5.52931789698167	4.116302968688791	7.964764278112461	4.5331604998183	5.029955135088089	5.519306984458951	4.10187928499841	4.594423157793	5.45170471576818	4.5594619771388
mmu-miR-22-5p	1.6831807442956999	0.0498342371565275	1.8569696251641201	3.6754631356001095	4.16270354156683	4.787373038931991	1.10857703231239	0.31335342284462797	1.3705542326806799	3.63781326575511	3.4738593428351403	3.0856536196200497	-0.8430287052188999	-0.970786821593277	-0.9731287750952791	-0.64944337628266	-0.86635182418954	-0.689155099213161	-0.857763797729302	-0.81702414828141	0.446019171555382	-0.897316914422448	-0.875624000959552	-0.870885737881701	-0.7622884235546701	-0.926537782166777	-0.660265631382153	-0.964028329387741
mmu-miR-22-3p	5.70545907190117	5.44947552116383	5.644678450596219	7.989773220015451	8.34995193403813	9.38996760854925	5.11758884585384	5.07942438801142	4.9423725164413	8.26878918233119	7.6488627883980405	8.44201063313256	3.43158120501187	3.79712280953529	3.35320989647757	3.0820733887464398	3.02390122291386	3.5027846981716095	3.12831396047731	2.84289344082725	5.4126013673895	4.08177459317461	4.13959827872078	4.3928612210182	3.64089644467761	3.3479677641765804	3.2670989364850898	3.0409152384558
mmu-miR-221-3p	0.8476375835312909	-0.466690606742376	0.6972127830596421	-1.0989021807713901	-1.26599140856801	-1.6249174692813	1.9978915909193102	0.6490901793359038	-0.7164701086742831	0.106430676945983	-0.951346075056425	1.42648046152143	0.9529659031877041	0.858627102153338	0.21661904477620397	0.7664146862257379	0.9729972790472099	0.44194523414389203	2.47949407860725	0.702871395449899	4.35150029909002	1.03378745309817	1.47956784934975	2.56370353956048	0.8054463551128059	0.9434298838900171	1.80994409658573	0.963837789019984
mmu-miR-222-5p	-2.15691991314567	-2.12057969827992	-1.3727109629439098	-1.93271385169405	-2.00160001878227	-2.19059632902168	-1.28683874805228	-1.7286361147964702	-1.7750479149620801	-1.8367562864287998	-1.8718806388819098	-1.8420416459672702	-2.08505514764534	-2.07282424077861	-2.07708410761509	-2.08306106740615	-1.9352534610460201	-2.08435097255473	-2.00216047975471	-1.98679385002765	-1.98042238248397	-2.0170795599876397	-2.00889718793969	-2.0071099576799	-1.84268241529239	-2.02810140875206	-2.0404485309045	-2.06146118066859
mmu-miR-222-3p	0.810750582798986	-0.357135261323784	0.115043367134142	0.108448733669349	0.8325843348989959	-0.11280095541689598	0.339427641497515	0.649720466161808	0.5242312997167029	-0.37623024238340796	-0.809224786961013	-0.7428750845483671	0.821531719710703	-0.22927836580945604	-0.243534186178236	-0.263172070983642	0.875304887002043	-0.00501394575308539	0.020875889266520002	0.6712720570974979	2.7442279880607496	-0.0318662735319952	-0.0027768987575935698	0.912637905617405	0.17075698770711803	0.73110638887503	0.6270328584508199	0.45605803934896
mmu-miR-224-5p	-1.96603836747466	-0.824624221659442	-1.74069808618877	-1.16517541008322	-1.8148015011143703	-1.97505968000731	-1.65163178859472	-1.5316844959746498	-1.5798226185401698	-1.6453892866943702	-1.68025710967761	-1.64930823260258	-0.15697352482090698	-0.263598286403238	0.74787317261583	-0.7872345378662321	-0.8030169022148509	-0.7930413067128751	-0.673497681137125	-0.6266746651562739	-0.23105352249986302	-0.7189569877368159	-0.694024823432271	-0.688579028713309	-0.563765637996342	-0.742667550611047	-0.754404136841548	-0.7721274286498679
mmu-miR-23a-5p	0.5963901034423199	-1.08253783609383	0.373383187024399	0.958312417587569	1.41114148351443	1.6206705426222199	1.2508440163490502	-0.258845732121023	-0.374415825267686	1.0182897734465601	1.15900387786899	1.2583193182855301	-0.507330831933153	-0.9209284433824692	-0.549226696650727	-0.923901930454471	-0.264028386311889	-0.809975553116338	-0.8399207448522041	-0.807685490780534	-0.535320548401134	-0.8712171546939441	-0.854052633484068	-0.8503034820740071	-0.764375839929947	-0.8943381709201121	-0.9088791287487851	-0.917176177970237
mmu-miR-23a-3p	6.0660250522147	5.675683597400139	6.39499729534524	8.17838182040154	8.02570165127865	8.61731864086286	5.80272152924657	5.5708137589598	5.11920246308303	8.474851737285059	7.83063767061797	8.49321224582264	3.26533458851849	2.8004924564094704	3.78973399616021	3.85731483151896	3.7400735105498097	3.65850494979869	3.92076000552219	3.0375155671522402	5.660062462097911	3.57219970322873	3.8109589345944	4.11802140648484	3.0136961212375097	1.9376017101865601	2.08438383919825	2.229546966469
mmu-miR-23b-3p	6.379633312714749	6.362315714906441	7.08156686033136	4.69982688230138	5.01133039760747	5.306658490518941	6.317305169978829	5.582295674836611	5.890464735563049	5.1782367671038205	4.00726909841164	4.7351638884173	2.3433803957122703	2.63980722644787	3.70765494908774	2.8683457627571296	3.1235032504789197	3.4896981341891498	2.4678143432717405	1.8526970810941499	4.36795246203784	3.4285631204983904	3.5498891400098502	2.4129624969951298	3.16733283631895	3.26716727732083	3.5650440273820903	2.7946140062735703
