	0	1	2	3
55	97.0	103.0	3.2033844375187113	2.0
56	32.0	107.0	3.219611845196428	2.0
57	184.0	212.0	3.22470514401342	2.0
58	208.0	349.0	3.2530034183838796	3.0
59	234.0	235.0	3.254356461816453	2.0
60	30.0	217.0	3.2853182278226294	2.0
61	302.0	312.0	3.323543653062121	2.0
62	243.0	245.0	3.3755891414132133	2.0
63	277.0	285.0	3.399168632113187	2.0
64	131.0	279.0	3.4078645456804235	2.0
65	190.0	367.0	3.4467303937798617	3.0
66	140.0	183.0	3.4531359890898656	2.0
67	58.0	148.0	3.475730480644424	2.0
68	162.0	350.0	3.4935358498226257	3.0
69	186.0	320.0	3.5050402967546854	2.0
70	262.0	284.0	3.524421454572974	2.0
71	339.0	355.0	3.531890401159119	4.0
72	281.0	286.0	3.542318955391645	2.0
73	70.0	298.0	3.584559916426757	2.0
74	143.0	144.0	3.6026421743042722	2.0
75	308.0	336.0	3.6197329056304	6.0
76	24.0	154.0	3.62163387622899	2.0
77	101.0	267.0	3.625001908041918	2.0
78	318.0	354.0	3.6404979373716846	3.0
79	89.0	104.0	3.6564807891787257	2.0
80	150.0	287.0	3.6698961443962	2.0
81	76.0	207.0	3.686542837256238	2.0
82	12.0	400.0	3.69145873576361	3.0
83	258.0	376.0	3.692931141078768	5.0
84	81.0	369.0	3.70836352920443	3.0
85	168.0	250.0	3.7093135221844675	2.0
86	93.0	257.0	3.7142066263568227	2.0
87	181.0	363.0	3.7284210988951796	3.0
88	275.0	378.0	3.75279673980751	3.0
89	2.0	356.0	3.780583531798783	3.0
90	171.0	189.0	3.796069907302647	2.0
91	116.0	117.0	3.8069082408450026	2.0
92	348.0	404.0	3.8097099409732724	6.0
93	194.0	384.0	3.8108186877190935	3.0
94	199.0	260.0	3.811247977809963	2.0
95	244.0	361.0	3.8203707758327896	3.0
96	268.0	294.0	3.834023445372829	2.0
97	33.0	114.0	3.8643492671538335	2.0
98	203.0	261.0	3.8695744864423176	2.0
99	39.0	96.0	3.900034520284521	2.0
100	51.0	323.0	3.9478904197058844	2.0
101	351.0	375.0	3.9656941372797525	4.0
102	146.0	291.0	3.9669041352399828	2.0
103	362.0	402.0	3.99809143484682	11.0
104	317.0	352.0	4.014623910652544	3.0
105	23.0	182.0	4.050656412781569	2.0
106	102.0	266.0	4.052868838401366	2.0
107	121.0	126.0	4.079987022888192	2.0
108	68.0	237.0	4.08740771404994	2.0
109	213.0	357.0	4.087645398260987	4.0
110	64.0	407.0	4.089439514940788	3.0
111	11.0	197.0	4.107873254828652	2.0
112	113.0	365.0	4.111998704584237	3.0
113	373.0	414.0	4.113936769034948	5.0
114	133.0	325.0	4.1481376924337745	2.0
115	8.0	15.0	4.166070343658415	2.0
116	214.0	322.0	4.194224870696328	2.0
117	123.0	128.0	4.210636271209585	2.0
118	18.0	241.0	4.211659580565531	2.0
119	211.0	420.0	4.212307269383916	4.0
120	178.0	256.0	4.22168082433501	2.0
121	36.0	153.0	4.260793829915406	2.0
122	176.0	383.0	4.261857473571376	3.0
123	77.0	311.0	4.267174004090624	2.0
124	236.0	282.0	4.279548457288319	2.0
125	280.0	392.0	4.299327008266792	4.0
126	385.0	410.0	4.327346422679307	8.0
127	132.0	165.0	4.333381495285599	2.0
128	27.0	206.0	4.3432450868412324	2.0
129	314.0	423.0	4.348304182473247	3.0
130	6.0	95.0	4.368735682372138	2.0
131	66.0	319.0	4.387123070699952	2.0
132	209.0	271.0	4.4003729428712655	2.0
133	1.0	163.0	4.4688929231138275	2.0
134	20.0	210.0	4.471742745355569	2.0
135	130.0	259.0	4.501578627199648	2.0
136	62.0	71.0	4.521756162242139	2.0
137	265.0	309.0	4.570499871497681	2.0
138	185.0	251.0	4.596755135469238	2.0
139	195.0	366.0	4.618349028719802	3.0
140	187.0	395.0	4.626616665869047	4.0
141	67.0	439.0	4.6292805457554955	4.0
142	360.0	453.0	4.632428070437303	11.0
143	13.0	381.0	4.644526328632789	3.0
144	222.0	316.0	4.654214963360744	2.0
145	79.0	170.0	4.675951319920091	2.0
146	34.0	35.0	4.712995460163241	2.0
147	227.0	399.0	4.730414070578413	3.0
148	169.0	173.0	4.748003178160973	2.0
149	44.0	215.0	4.782219778666754	2.0
150	283.0	391.0	4.813563508777755	3.0
151	371.0	408.0	4.824695546750443	4.0
152	174.0	396.0	4.830430862221485	3.0
153	296.0	380.0	4.878778347880415	3.0
154	306.0	388.0	4.894175129892351	3.0
155	53.0	188.0	4.93298158374508	2.0
156	409.0	417.0	4.994018020887386	5.0
157	428.0	440.0	5.012237150187274	9.0
158	303.0	460.0	5.0146429058920186	3.0
159	424.0	448.0	5.018876504868303	4.0
160	31.0	82.0	5.075217436957893	2.0
161	115.0	458.0	5.105834603855425	3.0
162	106.0	435.0	5.115266923800385	3.0
163	122.0	124.0	5.121624720622229	2.0
164	341.0	429.0	5.12163059531195	4.0
165	83.0	459.0	5.128270717918726	3.0
166	433.0	475.0	5.209961623827181	4.0
167	200.0	225.0	5.2178820544258	2.0
168	353.0	390.0	5.218418442288471	4.0
169	226.0	451.0	5.237366612795825	3.0
170	345.0	419.0	5.243485952693503	8.0
171	63.0	100.0	5.251383950524507	2.0
172	46.0	476.0	5.256032134233956	3.0
173	196.0	462.0	5.261368054845234	3.0
174	84.0	109.0	5.286263939193468	2.0
