	0	1	2	3
66	538.0	620.0	0.7523711717063785	4.0
67	95.0	550.0	0.7646073648104097	2.0
68	159.0	288.0	0.784483755147443	2.0
69	607.0	622.0	0.7936339002676841	7.0
70	83.0	624.0	0.8309918155700176	4.0
71	39.0	478.0	0.8424366681432822	2.0
72	564.0	615.0	0.8427043901238974	6.0
73	11.0	28.0	0.8462583934977187	2.0
74	577.0	600.0	0.8712280024986789	11.0
75	572.0	605.0	0.8859802901051784	4.0
76	612.0	630.0	0.9055959362675895	6.0
77	4.0	18.0	0.9061343833740064	2.0
78	439.0	451.0	0.9162851500097441	2.0
79	76.0	157.0	0.9322809450892334	2.0
80	174.0	473.0	0.9503856548149452	2.0
81	72.0	292.0	0.9663397427759262	2.0
82	421.0	493.0	0.9716122647444124	2.0
83	571.0	633.0	0.9819504733531289	9.0
84	602.0	603.0	0.9846401419947387	5.0
85	5.0	267.0	0.9909600369116912	2.0
86	611.0	617.0	0.993413700085816	4.0
87	387.0	640.0	1.0030330217366616	7.0
88	210.0	470.0	1.0303683528018488	2.0
89	229.0	542.0	1.0419392181389435	2.0
90	261.0	546.0	1.0458656520726037	2.0
91	582.0	638.0	1.0474969493285395	17.0
92	361.0	462.0	1.058706849434449	2.0
93	308.0	326.0	1.0672718506258587	2.0
94	131.0	297.0	1.0861711687262614	2.0
95	225.0	637.0	1.0984694628779619	3.0
96	626.0	634.0	1.1003084051236387	7.0
97	363.0	455.0	1.1067648636808562	2.0
98	259.0	554.0	1.1222488881307673	2.0
99	431.0	609.0	1.1446666204066336	3.0
100	587.0	648.0	1.150787070785671	11.0
101	569.0	632.0	1.1716701224873205	4.0
102	124.0	448.0	1.187194369288828	2.0
103	655.0	664.0	1.2308550423999467	28.0
104	424.0	556.0	1.2437933820191767	2.0
105	197.0	544.0	1.2486367847366704	2.0
106	635.0	636.0	1.2665127908457388	8.0
107	27.0	56.0	1.2697460236843385	2.0
108	13.0	443.0	1.2719090696097974	2.0
109	621.0	628.0	1.2927525900803287	6.0
110	135.0	627.0	1.2947581481564288	4.0
111	524.0	645.0	1.3197627792196212	3.0
112	191.0	196.0	1.321492262223157	2.0
113	106.0	659.0	1.3336058266263113	4.0
114	194.0	198.0	1.3360910747947377	2.0
115	651.0	663.0	1.3369597546716845	10.0
116	32.0	122.0	1.338978013779856	2.0
117	112.0	309.0	1.349412606769891	2.0
118	306.0	543.0	1.3874451075757244	2.0
119	639.0	650.0	1.389556666314257	8.0
120	339.0	413.0	1.3955829691228268	2.0
121	646.0	656.0	1.4149808497826182	4.0
122	596.0	667.0	1.416421976445302	38.0
123	426.0	631.0	1.434064147433409	3.0
124	26.0	129.0	1.4490835153932946	2.0
125	212.0	430.0	1.453317830105077	2.0
126	417.0	644.0	1.468281280617687	3.0
127	321.0	495.0	1.481425261400048	2.0
128	534.0	653.0	1.5028160249567863	3.0
129	164.0	170.0	1.517273473451993	2.0
130	187.0	676.0	1.5197488492125724	3.0
131	642.0	665.0	1.5444324964096863	6.0
132	116.0	195.0	1.547007580182424	2.0
133	158.0	412.0	1.5511017836310153	2.0
134	290.0	376.0	1.552932757508548	2.0
135	243.0	343.0	1.5544700416179102	2.0
136	70.0	247.0	1.56388320844597	2.0
137	530.0	657.0	1.5639367868028315	3.0
138	151.0	171.0	1.570509797710822	2.0
139	400.0	652.0	1.5749145330087004	3.0
140	366.0	409.0	1.5915021526663928	2.0
141	115.0	643.0	1.6048540733342709	3.0
142	238.0	239.0	1.606856464501525	2.0
143	619.0	625.0	1.6158019295974735	6.0
144	8.0	517.0	1.6271971471489812	2.0
145	80.0	276.0	1.6379502115739795	2.0
146	536.0	549.0	1.6454276420324188	2.0
147	348.0	685.0	1.6567190224239225	5.0
148	338.0	396.0	1.6601276117623225	2.0
149	283.0	662.0	1.6682496202396184	3.0
150	304.0	504.0	1.6829043987285843	2.0
151	364.0	561.0	1.690023317434219	2.0
152	16.0	344.0	1.7030189803976896	2.0
153	440.0	555.0	1.7066047892693128	2.0
154	673.0	695.0	1.7223185718776286	12.0
155	216.0	315.0	1.732267831137091	2.0
156	109.0	691.0	1.7639469923732358	3.0
157	84.0	117.0	1.772805766343836	2.0
158	178.0	512.0	1.7793599376878153	2.0
159	334.0	420.0	1.7961437484152678	2.0
160	50.0	666.0	1.8179906503925924	3.0
161	220.0	354.0	1.8248528875289196	2.0
162	160.0	529.0	1.8320810296803083	2.0
163	37.0	425.0	1.8517214494737868	2.0
164	367.0	403.0	1.8625515777563886	2.0
165	647.0	718.0	1.8753323258288555	21.0
166	683.0	707.0	1.8840948424841026	14.0
167	140.0	206.0	1.886215666530676	2.0
168	38.0	687.0	1.889780467267064	4.0
169	629.0	670.0	1.890315485565244	10.0
170	48.0	204.0	1.891089984985322	2.0
171	272.0	323.0	1.9017856215974456	2.0
172	107.0	207.0	1.9052939205883161	2.0
173	200.0	319.0	1.9077659722983138	2.0
174	562.0	689.0	1.9098892458017798	3.0
175	260.0	265.0	1.9112917619964798	2.0
176	99.0	481.0	1.9141884307087462	2.0
177	128.0	654.0	1.9224534543388174	3.0
178	362.0	458.0	1.9236572967262695	2.0
179	134.0	359.0	1.939644363861019	2.0
180	15.0	138.0	1.9503905618004749	2.0
181	121.0	672.0	1.951020382268195	3.0
182	105.0	217.0	1.9513178040477297	2.0
183	154.0	419.0	1.9568639185625378	2.0
184	54.0	213.0	1.9676110253873076	2.0
185	350.0	688.0	1.9743831734498292	3.0
186	479.0	668.0	1.9916875157917018	3.0
187	214.0	535.0	1.9998455973159721	2.0
188	660.0	729.0	2.000112461086873	28.0
189	31.0	236.0	2.00738638006777	2.0
190	85.0	559.0	2.0113442136120336	2.0
191	303.0	394.0	2.012254802322805	2.0
192	649.0	704.0	2.017944814896302	4.0
193	203.0	408.0	2.0182259921136523	2.0
194	60.0	342.0	2.022623701942102	2.0
195	185.0	188.0	2.0242556269404037	2.0
196	146.0	674.0	2.024750191233852	5.0
197	9.0	373.0	2.0341464176422646	2.0
198	77.0	257.0	2.0366686713698083	2.0
199	57.0	699.0	2.0387222427709863	3.0
200	248.0	358.0	2.059509201850965	2.0
201	87.0	244.0	2.0717225107391455	2.0
202	378.0	698.0	2.0754967566167064	3.0
203	407.0	706.0	2.0877632943921487	3.0
204	301.0	401.0	2.088524478163303	2.0
205	450.0	719.0	2.0891619081386343	3.0
206	218.0	219.0	2.089787198579816	2.0
207	12.0	386.0	2.092527233119292	2.0
208	713.0	726.0	2.110818379533872	5.0
