	dICM1	dICM2	dICM3	dTE1	dTE2	dTE3	mICM1	mICM2	mICM3	mTE1	mTE2	mTE3	wtICM1	wtICM2	wtTE1	wtTE2
mmu-miR-485-5p	-1.6349174494724097	-1.48183143171839	-1.42802841676254	-1.63425151166257	-1.63523715784298	-1.63462559367988	-1.5867315853259798	-1.5752535784016202	-1.5704944510013	-1.59787529798518	-1.5917635269142199	-1.5904285665708202	-1.55983231101376	-1.6061079982378998	-1.61533060306921	-1.6310258689652
mmu-miR-485-3p	-1.63153126541859	-1.6228047541507802	-1.0243189797274501	-1.6262461368962198	-1.6341748490526797	-1.62917971061058	-1.50053556860944	-1.47100523821787	-1.45876107375331	-1.5292058350401598	-1.5134816226231	-1.51004706989456	-0.956797587545094	-1.55038672124102	-1.57411440929124	-1.61449479854754
mmu-miR-486a-5p	-2.3077163888587595	-2.2976966464626	-2.29969852992205	-2.30250734470496	-2.3079071216592997	-2.30709079126959	-2.26448889143018	-2.25726749154634	-2.25427328163844	-2.27149996973263	-2.26765474266553	-2.20879337419378	-2.2475651852786003	-2.27667958157992	-2.28248199291286	-2.29235668562433
mmu-miR-486b-5p	-2.2976955930236	-2.29060407354796	-2.29205543279275	-2.2940918147223903	-2.2977933883504797	-2.29741479914147	-2.2665285550469	-2.26129306272478	-2.25912226990957	-2.27161156488054	-2.2688237872875	-2.26821486845043	-2.25425892103637	-2.23330137811953	-2.2795734973266404	-2.2867326186473997
mmu-miR-487b-3p	-2.3375341093164903	-2.3181359268426402	-2.32180384314867	-2.32695024540011	-2.33820342865635	-2.3353481860059198	-2.25729159267574	-2.24406030777689	-2.23857421851779	-2.2701375194987996	-2.2630921687851	-2.2615532918050896	-2.1199745788933604	-2.27962777362118	-2.29025914131739	-2.30835187605798
mmu-miR-491-5p	-2.07742756107905	-2.07373408373969	-1.9986166324392398	-2.07690283154714	-2.0774978884251203	-2.0773630901888303	-2.0518605436322503	-2.04710389628175	-2.04513164701507	-2.056478654742	-2.0539458509318	-2.05339262460755	-2.04071310638719	-2.05989040140696	-2.06371237843874	-2.0702167171651102
mmu-miR-494-3p	-1.51132923320225	-1.6770502829987401	-1.55226838936203	-1.67836730753764	-1.68129756288784	-1.6794681902057298	-1.29534391586133	-1.5787874335417	-1.5709885245935402	-1.61585824851318	-1.6058427263207702	-1.6036550912163001	-1.5535161915457498	-1.62934939389921	-1.6444627223088202	-1.6701829729647901
mmu-miR-495-3p	-1.66719553107412	-1.6640587970374798	-1.66460260897333	-1.6653168084312	-1.66811163002139	-1.6663674751211297	-1.5865703521325702	-1.5681667826951498	-1.5605361084717801	-1.60443792191763	-1.59463845028189	-1.59249800590527	-1.54344068111186	-1.02617251227468	-1.6324253522513201	-1.6575907766720501
mmu-miR-497a-5p	-1.91355520249886	-1.9112972196064901	-1.7591473717610402	-1.91326632380398	-1.9136935731016498	-1.9134287605367	-1.8791581579627201	-1.8721691574778998	-1.8692713073609497	-1.88594360544424	-1.8822221256386	-1.88140926339268	-1.8627790912442401	-1.89095652680217	-1.8965722046861397	-1.9061291096156499
mmu-miR-499-5p	-1.07726058978484	-0.934224776784838	-1.07278804221137	-0.953962344302817	-0.22301960314944896	-0.7943419631632641	-0.9953570413140049	-0.9681082948166829	-0.9568101437583609	-1.02181217444737	-1.0073028522575698	-1.00413366128034	-0.931498262387861	-1.04135657476469	-1.0629853150053201	-1.06910962366145
