	pausedE141	pausedE142	pausedE143	pausedTS1	pausedTS2	pausedTS3	wtE141	wtE142	wtE143	wtTS1	wtTS2	wtTS3
mmu-miR-541-3p	-2.19069713467421	-1.5113161244557398	-1.91095772092583	-1.91411545552198	-1.99909376360279	-2.24387922991349	-1.8050253423207399	-1.6623641746544098	-1.03195346440735	-2.2701499927459903	-1.8390713106899	-1.11459725420554
mmu-miR-542-5p	0.198935522484733	-0.251092205309691	-0.861244173441592	2.8105725135637796	1.46755230868735	0.40501817145309393	-0.633151848592744	-0.3259755364288	-0.449253775071574	1.4959968310586298	2.6300016912802997	1.30054876987855
mmu-miR-542-3p	4.24655627746032	3.58626776005553	3.64039161961859	4.04124992705873	4.733675314522009	6.34222496668013	1.99466747623988	3.28904928747346	1.67713059392508	4.58144072842505	4.91391815031981	5.27802861717909
mmu-miR-543-5p	-0.36090277217437605	-0.267884081170515	-0.5986993935798061	-1.41824787599373	-1.5251832449921998	-1.71450616305336	-0.415624338435005	-1.10144801584814	-1.17349532500146	-1.2716567193381498	-1.32381350209255	-1.2774929728376299
mmu-miR-543-3p	4.67740079649733	4.45682691366208	4.70748017722795	0.7691633801807171	0.498041235397928	-0.320628533166399	4.32148512732082	4.1747314130428705	4.22867971444356	0.523220316996036	1.66342554822521	1.12360900131315
mmu-miR-544-3p	-0.440307681856805	-0.9866937098257941	-1.7003199099478101	-1.7032584430874398	-1.7823377852046	-1.9578717953226799	-1.6017410726163999	-1.4689830601364198	-1.52226247425841	-1.97714197734067	-1.63342366128143	-1.5991693540835
mmu-miR-5622-5p	-2.4106768857745497	-2.3883957297856098	-2.27164070502802	-2.2732101633756203	-2.3154461116231	-2.44174217686287	-1.87720689298296	-2.14808465417098	-2.17654096801055	-2.4671590821271403	-2.23591169640225	-2.2176166131689903
mmu-miR-574-5p	-1.23823074139639	-0.21232641808564498	0.950963065933885	1.6594824226797	1.8471881282551599	0.895496309117927	-0.598916475239515	0.9423209211660708	-0.42360950906312705	0.538672091992065	1.14716587965048	1.6768469717956698
mmu-miR-574-3p	0.650881671009313	0.391776747576314	0.42482441219053	2.05084587065204	2.69951196199409	2.13879406085131	-0.538091405230688	-0.22864871041620102	-0.35283651027898294	1.3496185574588502	-0.6119396455896929	2.40966759138204
mmu-miR-582-5p	-0.14882254896293898	0.9977262095616579	-0.0716603939819137	-1.18947560361706	-1.3469027091305101	-1.6016155569611201	1.2276099154689901	0.481915966654409	1.03246109717848	-1.01821824481246	-1.0504520954599699	-0.9822603744723399
mmu-miR-582-3p	-1.1318079668988101	-2.00661849616331	-1.14452996684114	-1.79006045095995	-1.8694673998933602	-2.0629740606811398	-1.04554274094473	-1.5548145210837798	-1.6083146590859199	-2.08295207987277	-1.71993636034182	-1.6855401457351598
mmu-miR-598-3p	-2.23825463046308	-2.21749120882305	-2.1086892324427	-1.79164990531691	-2.14951072876446	-2.26227457123238	-2.05962510303275	-1.99354949815797	-2.02006744196957	-2.05349331759085	-2.07539399088316	-2.05834512109829
mmu-miR-615-3p	-2.01858830115611	-1.96161261671009	-1.65491542338059	0.41734915219179497	-0.4141137780461261	-1.33885058311154	-1.5166106674947	-1.33035299794832	-1.40510328475797	-2.0978898596391002	-1.56106090458178	-1.51300258168715
mmu-miR-6236	1.19823890229297	0.25622396494785604	0.261014671497923	0.253554284941597	0.640261225904252	-1.41332117074616	-0.6812379242395489	-0.3925522946542029	-0.50840971766333	1.6076282672162399	2.0618900956143897	1.60119001789695
mmu-miR-6240	5.22013657484234	5.75982083163599	7.06698763793633	5.28074972709778	4.85726059124958	4.78977386438762	5.016290608442089	4.70932291115437	4.3568456403233204	7.064353471638791	7.08787849693951	6.84827119593693
mmu-miR-6399	-2.4106768857745497	-2.3883957297856098	-2.27164070502802	-2.2732101633756203	-2.3154461116231	-2.44174217686287	-1.87720689298296	-2.14808465417098	-2.17654096801055	-2.4671590821271403	-2.23591169640225	-2.2176166131689903
mmu-miR-6412	-2.2287235175633398	-2.20336494201945	-2.07048399468822	-2.07227022283951	-2.12033969844632	-1.91080109353628	-2.01056148029212	-1.92986267992703	-1.96224931123824	-2.26937402543733	-1.6408306365590302	-2.00899822549035
mmu-miR-6418-3p	-2.26752400916262	-2.23511034812099	-2.06526019316136	-1.5703318781428102	-2.12898640206493	-2.31271644962652	-1.9886664559841298	-1.88551619989136	-1.92691321321275	-2.32786597962908	-1.51607168327466	-1.9866682833668101
mmu-miR-6481	-2.33561681398376	-2.2952884562626	-1.46534515519753	-2.08680534484759	-2.1632513977571697	-2.39184424546641	-1.98866843492272	-1.24171166777656	-1.91183642073812	-2.43386091323345	-2.01929601457318	-1.98618235289711
mmu-miR-6516-3p	-1.75672955818351	-0.4180438518448279	-1.49514467568917	-1.4987417118401498	-1.59554213534228	-1.22377710926402	-0.5911431880038511	-1.21196699067234	-1.27718591780141	-0.5165107509452991	-1.4132574845689498	-1.3713270466725502
mmu-miR-652-5p	0.271598851705178	-1.1160719740275902	1.03363254303884	2.20503362692891	1.1901321116117098	1.59181104787063	-0.5251053212634411	1.03798506426046	1.5712689192553702	1.7598932345332	1.23432058286355	-0.519281438184304
mmu-miR-652-3p	-0.0718233794932698	-0.439174655669123	0.5564554833856971	-1.00479227067953	0.35124731543666	0.8333022778206558	0.220673028082492	-0.5771546105607621	-0.6744088918285022	0.0431758627561969	0.151086993013826	-0.814791879239154
mmu-miR-6538	-1.6632960700037	-0.157145227147225	-1.36624729917244	-1.3705497841503	-0.652259671747798	-1.0481741983722	-1.2219120316765302	-1.02753295638775	-1.1055425850007201	-0.430690823691813	-1.2683004354528602	0.27037969066491896
mmu-miR-6539	-0.625453424871212	-1.46687198063523	-1.1303972275687801	0.9282133333242579	-0.23912481729781698	-1.5779410313576898	0.8084460662144101	0.488294763516521	0.3616052984306621	0.19241431858494	-1.00105042598154	0.18051414300156501
mmu-miR-6540-5p	-2.4699116740785603	-2.43923644607992	-2.27849581816078	-2.2806565450400798	-2.33880421668124	-2.51268032070765	-2.20601001200142	-1.6378472989110202	-2.14756876405865	-2.56104799826352	-2.2293064724057903	-2.20411900683116
mmu-miR-6546-5p	-2.19614039450546	-2.16742073023255	-2.01692741135452	-2.01895039063153	-2.07339111419714	-2.22774050952538	-1.94906261773209	-1.85766779747886	-1.8943470335258001	-1.7247262180118899	-1.97087391516045	-1.5067449776671897
mmu-miR-664-3p	-0.540774167069351	-1.7148416627533	0.0520214661364246	-1.41202096054649	-0.6539124820995761	-1.77399428388291	-1.2554526828446	-0.0637528969089867	-1.13287437726661	-1.25274508211733	-0.359477991624085	-1.25148637107389
