	diapaused_ICM	mTor_ICM	paused_E14
mmu-miR-329-3p	0.4476913880396698	0.009564753029308024	-0.30584569911269344
mmu-miR-33-3p	0.23146395285034457	0.009564753029308024	-0.6457511442359111
mmu-miR-33-5p	-0.020401863388178933	0.009564753029308024	-1.242397320243403
mmu-miR-330-3p	0.5256353168038818	-1.0213133476269465	-1.4589230704553984
mmu-miR-330-5p	0.508295275141151	0.009564753029308024	-0.2639447168097142
mmu-miR-331-3p	-1.6102868248594826	-0.6939935652808232	0.5187418708888265
mmu-miR-335-3p	-0.5213699737773689	0.21871481670717322	-0.1453822378863199
mmu-miR-335-5p	-1.0795249963607427	-1.3668752430844455	-0.03906898049971213
mmu-miR-338-3p	-0.020401863388178933	0.009564753029308024	0.1807279044447596
mmu-miR-339-5p	-1.2658457040159878	-0.6241698298470378	0.19195669641094512
mmu-miR-340-3p	0.4367861318915532	0.009564753029308024	0.48019025347867306
mmu-miR-340-5p	-1.8696397060698555	-3.5350724092056236	1.5167540272929467
mmu-miR-341-3p	-0.4499571788114068	-0.5149288579226484	-0.34231112153277155
mmu-miR-342-3p	-0.1607177629585581	-0.6562354927234241	0.46751553333359014
mmu-miR-345-3p	0.12488584264722907	0.009564753029308024	0.031368197226083125
mmu-miR-3470b	-0.020401863388178933	0.009564753029308024	-0.47534269650161415
mmu-miR-3473b	1.3241861260778656	0.2476269416173729	-2.226104751827632
mmu-miR-3473e	-0.020401863388178933	0.426688997400482	0.4831648059699877
mmu-miR-34a-3p	-0.020401863388178933	0.009564753029308024	-0.8967629836542647
mmu-miR-34a-5p	1.0962390679294565	1.0937478751482408	-0.9795315965597382
mmu-miR-350-3p	-0.7782504679011787	0.08853035707403162	0.6206569174342321
mmu-miR-351-3p	-1.551241427520443	-0.7341818800566636	0.1807279044447596
mmu-miR-351-5p	0.3183575250917635	0.2106153505081802	-0.32127062863206185
mmu-miR-3535	-0.3612051025563411	1.361946472705377	1.1722960949232095
mmu-miR-361-3p	0.026066136964140826	0.009564753029308024	-0.2282672600339979
mmu-miR-361-5p	0.5669163409355937	0.6152821177870789	0.9036550275919222
mmu-miR-362-3p	-0.020401863388178933	0.21812912232394643	-0.2857375419845395
mmu-miR-362-5p	0.1432259233032761	0.009564753029308024	0.36841044540942763
mmu-miR-367-3p	-0.49205496240252367	-0.32601337779291806	-3.588348843813788
mmu-miR-369-3p	0.9321038562456178	0.29322365132454964	0.816571462855646
mmu-miR-369-5p	0.45461655867638634	0.009564753029308024	0.5182492014894036
mmu-miR-370-3p	-0.20813784505948066	-0.127665992484109	-0.04129489967396117
mmu-miR-374b-5p	0.37576335095023383	-1.4927842097877406	-0.5162274400299856
mmu-miR-376a-3p	0.05681806537671735	0.009564753029308024	-1.598658408385841
mmu-miR-376b-3p	0.43932823753222455	0.21717667832470722	-0.050860676421492376
mmu-miR-378a-3p	0.7138165399295231	0.4251048071142856	-0.08985916198965177
mmu-miR-378a-5p	0.8525418234934092	1.1351577700828526	-0.2775847326931117
mmu-miR-378b	0.032917131802191135	0.009564753029308024	0.1807279044447596
mmu-miR-378c	-0.7973899490573035	-0.3738658863713933	0.48564571273974944
mmu-miR-379-3p	-0.34187728847464405	-0.33401070657111165	0.6678909995008979
mmu-miR-379-5p	0.2062449677780257	1.0059497578855552	0.9156940343842263
mmu-miR-381-3p	0.26312929428821563	0.22656373487570455	0.6827608221742841
mmu-miR-382-3p	0.4075529802085385	-0.16028230304062155	0.9773623263702202
mmu-miR-382-5p	-2.2513457208897187	-1.1677034730229876	0.34371660076743127
mmu-miR-3963	-0.020401863388178933	0.7581718068813372	-0.37046942005489153
mmu-miR-3968	-1.5834350447023051	0.1935694684378008	-0.5909595666420564
mmu-miR-409-3p	-1.5171903447915691	-1.0389537624757232	0.7226964916078521
mmu-miR-410-3p	0.008810474877313986	-0.5386201198367867	0.33220715553639196
mmu-miR-411-3p	-0.6822456023292066	-0.10538465800151747	0.7614970040789578
mmu-miR-411-5p	0.5402376263066233	0.34105415362542424	1.0848299135745645
mmu-miR-421-3p	1.7473924314411606	0.8474725725353943	-0.5537992492799781
mmu-miR-423-3p	-0.2443573863571721	-0.004192524463765794	0.6795906309778622
mmu-miR-423-5p	0.06754455832447227	0.21148702290751148	0.10383906685838787
mmu-miR-425-5p	0.10218191972999377	-0.05746701976814126	0.579738288155067
