	diapaused_ICM	mTor_ICM	paused_E14	cluster
mmu-miR-18a-5p	-1.6203267029952901	-2.6264135163741003	-0.171516274557994	6
mmu-miR-191-5p	-0.762511428408377	-1.05973450808175	0.250829077148831	3
mmu-miR-192-5p	1.0261875486185799	0.351021242739721	-0.826782854712369	0
mmu-miR-193a-5p	0.295532556278448	0.0	0.33605173243250896	4
mmu-miR-193b-3p	0.0	0.42993263436632395	-1.6982250344971601	0
mmu-miR-1949	0.0	0.409451435268845	2.9597843099684704	4
mmu-miR-195a-5p	0.10197693425614901	0.6517265966169	0.7453423502564359	4
mmu-miR-1981-3p	-0.345132164986448	-0.137955910705271	0.10617280456643902	4
mmu-miR-1981-5p	1.52429293551631	-1.7340657084054198	0.0	0
mmu-miR-1983	0.793981375691783	0.42705428762693004	-1.4084135140041598	0
mmu-miR-19a-3p	-0.869553902397244	-0.644015461359454	0.687196598337373	3
mmu-miR-19b-3p	0.0	0.25847773833376103	0.544672372596633	4
mmu-miR-200a-3p	1.52171204216284	1.44912164076972	0.8386758256013729	1
mmu-miR-200a-5p	-0.310526146245873	-0.32980933009405894	0.5352361171792439	4
mmu-miR-200b-3p	1.23198642075027	1.4152030868127599	1.4233482110629698	1
mmu-miR-200b-5p	1.8621378994934499	0.391646779090275	2.12052288838421	1
mmu-miR-200c-3p	1.18701579102475	0.978491146807933	1.8681782255983501	1
mmu-miR-203-3p	-0.35746771831194296	4.06823937599978	1.07453409111872	8
mmu-miR-203-5p	-0.151046680784608	0.0	0.0	4
mmu-miR-205-5p	0.573463117962362	3.8508743757955597	0.735486506583779	8
mmu-miR-20a-3p	0.0	0.23033282049032	-0.259509077194085	4
mmu-miR-20a-5p	-1.22153618755948	-1.82911224170212	0.21424024065654798	6
mmu-miR-20b-5p	0.18827278868099	0.0	0.42558709972928205	4
mmu-miR-210-3p	0.610921058263816	0.0	0.9639808686680171	4
mmu-miR-2137	-2.20750742233657	-0.20206618861502	0.831234070255072	6
mmu-miR-214-3p	0.0	0.25847774066075796	0.0	4
mmu-miR-21a-5p	1.18924793910791	2.46720586850956	-0.684392362420806	8
mmu-miR-22-3p	0.0705453482926049	1.1060602509605901	0.583052447137079	4
mmu-miR-22-5p	-0.419497279600648	1.4145868738652598	0.640400220312053	4
mmu-miR-221-3p	-0.32251656753421803	3.3989764827779196	-0.852275774319665	8
mmu-miR-222-3p	-0.440479250902225	2.30495462723921	-0.352719106511663	8
mmu-miR-222-5p	-0.537799051263217	-0.13387603830397302	-0.7146526389290601	3
mmu-miR-224-5p	1.6020097741838797	0.277841547104549	0.409597406606649	1
mmu-miR-23a-3p	1.31305623479825	2.9790068242222296	0.551530529559308	8
mmu-miR-23a-5p	0.47046349498103707	0.25584690812043	-0.424902107606711	0
mmu-miR-23b-3p	-0.245896931716886	0.19021288407591297	0.682489133699817	4
mmu-miR-24-1-5p	-0.0819582211798219	0.231988800337871	-0.4067676139108571	4
