	diapaused_ICM	mTor_ICM	diapaused_TE	mTor_TE	cluster
mmu-miR-17-3p	0.681298713434961	0.0	0.00825977212754271	-0.41232802615516206	1
mmu-miR-181a-2-3p	-0.0176717678635795	0.23939964509893	0.0	0.0	1
mmu-miR-181c-5p	0.0	0.0	0.238528305992547	0.47852159375143893	1
mmu-miR-181d-5p	-0.5612622413506639	-0.264188883377315	-0.513112563181317	0.134223581133668	1
mmu-miR-182-5p	-0.32418301638873	-1.01119428871642	-0.514011316213114	-0.317351655297937	1
mmu-miR-183-5p	0.10756307599799302	-1.12347374314071	-0.354504440727553	-0.99946705735195	3
mmu-miR-1839-5p	2.0260155011234002	1.5978297493590803	0.922487997086956	2.69148898003942	2
mmu-miR-1839-3p	0.551763474334273	0.0	-0.0573751671928301	0.0	1
mmu-miR-184-3p	-1.1693086984953	-0.367162351390258	-1.336059956384	0.153929796527866	7
mmu-miR-1843a-3p	-0.20937625074371397	0.0	0.0	0.668043769733621	1
mmu-miR-1843b-5p	0.0430425432267837	0.0	0.0	0.0	1
mmu-miR-1843b-3p	0.0	0.247923387932548	0.0	0.323398917867931	1
mmu-miR-185-5p	0.869905076485568	0.793230175358413	0.18284589148564898	-0.485549443505184	4
mmu-miR-186-5p	-1.1189054560695602	-3.00787822144121	-1.1598357059913502	-0.8198167068289081	7
mmu-miR-188-5p	0.33594966152452405	-0.42499319648038203	0.925377175989553	0.0	0
mmu-miR-1895	0.0	0.0	0.0	0.333953268269145	1
mmu-miR-18a-5p	-1.6203267029952901	-2.6264135163741003	-0.29994668426268606	-0.39788552764514795	6
mmu-miR-18a-3p	-0.172998107296194	-0.150844467078664	-0.0323369173570953	0.0	1
mmu-miR-190b-5p	0.0	0.0	0.0	0.505408162934776	1
mmu-miR-191-5p	-0.762511428408377	-1.05973450808175	-0.22687500048317302	-0.438967116255598	1
mmu-miR-192-5p	1.0261875486185799	0.351021242739721	-0.476309190186904	-0.12763489573880898	5
mmu-miR-1934-3p	0.0301063755052668	0.0	0.129630809532452	0.0	1
mmu-miR-193a-5p	0.295532556278448	0.0	-0.198854619058231	-0.225887944802733	1
mmu-miR-193b-3p	0.0	0.42993263436632395	0.0	0.0	1
mmu-miR-1943-5p	-0.15002185616328198	0.24727774172594	0.0	0.0	1
mmu-miR-1949	0.0	0.409451435268845	-0.31517713374432	-0.145923565840146	1
mmu-miR-195a-5p	0.10197693425614901	0.6517265966169	0.0	0.662901370962443	1
mmu-miR-1968-5p	0.22958467557019396	0.0	-0.7654857456737121	-0.8200746065333999	1
mmu-miR-1981-5p	1.52429293551631	-1.7340657084054198	0.5374027965983371	-1.7883646180408301	3
mmu-miR-1981-3p	-0.345132164986448	-0.137955910705271	-0.0767429659103603	0.0	1
mmu-miR-1983	0.793981375691783	0.42705428762693004	-0.18458916382800003	-0.66305508608304	5
mmu-miR-19a-3p	-0.869553902397244	-0.644015461359454	-0.037448233417614	-0.7297272504869391	1
mmu-miR-200a-5p	-0.310526146245873	-0.32980933009405894	0.346197575279473	-0.397215763988361	1
mmu-miR-200a-3p	1.52171204216284	1.44912164076972	0.514603002887023	-0.0338096821765011	4
mmu-miR-200b-5p	1.8621378994934499	0.391646779090275	-0.46267521785202503	0.7049862724683109	5
mmu-miR-200b-3p	1.23198642075027	1.4152030868127599	0.322647795192237	-0.170741902650037	4
mmu-miR-200c-3p	1.18701579102475	0.978491146807933	0.6365698671504311	0.522478695912017	4
mmu-miR-203-5p	-0.151046680784608	0.0	0.0	0.493823696528229	1
mmu-miR-203-3p	-0.35746771831194296	4.06823937599978	0.0628091104858232	0.799492502171224	8
mmu-miR-205-5p	0.573463117962362	3.8508743757955597	-1.34821650630065	0.339237409941376	8
mmu-miR-20a-5p	-1.22153618755948	-1.82911224170212	-0.5419472858165171	-0.20187246617734197	6
mmu-miR-20a-3p	0.0	0.23033282049032	0.263514925409258	0.0	1
mmu-miR-20b-5p	0.18827278868099	0.0	0.0	0.0	1
mmu-miR-210-3p	0.610921058263816	0.0	0.810017720458855	0.0	0
mmu-miR-2137	-2.20750742233657	-0.20206618861502	-2.98444082560843	-1.80826144595166	7
mmu-miR-214-3p	0.0	0.25847774066075796	0.0	0.0	1
