	diapaused_ICM	mTor_ICM	diapaused_TE	mTor_TE
mmu-miR-324-3p	-0.8789719747427239	-0.4616067306474262	1.9819369154551887	0.9522270042603548
mmu-miR-328-3p	-0.4762933301446624	-1.351668689891986	1.6610609503898865	-0.10871431877614696
mmu-miR-329-3p	0.47259303783821044	-0.019291773711047767	0.06798278309159222	0.09198770180862852
mmu-miR-33-5p	0.012669520931146108	-0.019291773711047767	0.06798278309159222	0.5139896790666367
mmu-miR-33-3p	0.26013946765595036	-0.019291773711047767	0.06798278309159222	0.09198770180862852
mmu-miR-330-5p	0.5321391919622638	-0.019291773711047767	0.058278987262883476	0.42914519107589794
mmu-miR-330-3p	0.54917659406219	-1.0931847152639889	-0.1319142445027292	-0.9086017914159203
mmu-miR-331-3p	-1.5494668284544517	-0.7522070539203454	-0.3174897416787333	-0.5331909141989087
mmu-miR-335-5p	-1.027968502942294	-1.4531656675853393	-2.221627674879368	-0.42266255569538597
mmu-miR-335-3p	-0.479555082789716	0.19858537099308818	0.06798278309159222	0.09198770180862852
mmu-miR-338-3p	0.012669520931146108	-0.019291773711047767	0.06798278309159222	0.9468851996616733
mmu-miR-339-5p	-1.211037314287082	-0.6794698247683555	0.1730806476864135	2.041272725898676
mmu-miR-340-5p	-1.804293166758628	-3.7118339146946355	0.040146650337473805	-1.1062033827062434
mmu-miR-340-3p	0.4618781135253414	-0.019291773711047767	0.06798278309159222	0.09198770180862852
mmu-miR-341-3p	-0.4093886710486337	-0.5656706194080868	0.06798278309159222	0.09198770180862852
mmu-miR-342-5p	0.012669520931146108	0.24194953030793429	0.06798278309159222	0.09198770180862852
mmu-miR-342-3p	-0.12519741436760923	-0.7128734725975664	0.32748719407896876	0.09198770180862852
mmu-miR-345-3p	0.15542148866265337	-0.019291773711047767	-0.43246169780279337	0.4462619791468143
mmu-miR-3470b	0.012669520931146108	-0.019291773711047767	0.06798278309159222	0.7306496543588675
mmu-miR-3473b	1.3337901203413312	0.228703895042241	0.06798278309159222	0.09198770180862852
mmu-miR-3473e	0.012669520931146108	0.41523756733872913	0.06798278309159222	0.09198770180862852
mmu-miR-34a-5p	1.1098214723583875	1.1101304164132393	2.0869120315695295	-0.5365510861904126
mmu-miR-34a-3p	0.012669520931146108	-0.019291773711047767	-1.0986086668495219	-0.4964602092710792
mmu-miR-350-3p	-0.7319521851231979	0.06296878139736824	0.00941611922244254	0.09198770180862852
mmu-miR-351-5p	0.345516467260166	0.1901479431576262	-1.094259637672608	-4.013188786004757
mmu-miR-351-3p	-1.4914519634280714	-0.7940722827414917	-0.3745885212095795	-3.0136461782835857
mmu-miR-3535	-0.32218560431028404	1.3895199782514973	-1.6244588237902569	1.2339110657054961
mmu-miR-361-5p	0.5897371313958688	0.6117000013352231	0.8366101084946108	1.201087026190711
mmu-miR-361-3p	0.05832650504806371	-0.019291773711047767	0.12773490410929653	0.09198770180862852
mmu-miR-362-5p	0.17344147585528763	-0.019291773711047767	0.4279316810178964	0.09198770180862852
mmu-miR-362-3p	0.012669520931146108	0.19797523768668263	0.028002869942019296	0.9190032221535869
mmu-miR-365-2-5p	-0.46992511521367797	-0.02544007655628355	0.06798278309159222	0.09198770180862852
mmu-miR-367-3p	-0.450751712759145	-0.36887237475408496	0.06798278309159222	0.09198770180862852
mmu-miR-369-5p	0.47939734194792505	-0.019291773711047767	0.06798278309159222	0.09198770180862852
mmu-miR-369-3p	0.9485509486419129	0.2762031916917711	0.06798278309159222	0.09198770180862852
mmu-miR-370-3p	-0.17178986334086627	-0.16224866539115076	0.06798278309159222	0.09198770180862852
mmu-miR-374b-5p	0.40192037660781393	-1.58432836328604	0.3800049323528969	0.5522174643163101
mmu-miR-375-3p	0.012669520931146108	-0.019291773711047767	1.1512218991718317	0.09198770180862852
mmu-miR-376a-3p	0.08854171328711379	-0.019291773711047767	0.06798278309159222	0.09198770180862852
mmu-miR-376b-3p	0.46437585123687747	0.1969830516199146	0.06798278309159222	0.09198770180862852
mmu-miR-377-5p	0.26013946765595036	-0.019291773711047767	0.06798278309159222	0.09198770180862852
