	diapaused_TE	mTor_TE	paused_TS	cluster
mmu-miR-362-5p	0.24814651002615	0.0	-0.0724258547114647	6
mmu-miR-367-3p	0.0	0.0	0.0	6
mmu-miR-370-3p	0.0	0.0	0.0	6
mmu-miR-374b-5p	0.215106110439887	0.364205007622997	0.616078642983421	6
mmu-miR-378a-3p	0.591877818484567	0.15967276243348	0.335144898799513	6
mmu-miR-378b	0.0	0.0	-0.20936276907484802	6
mmu-miR-379-5p	0.0	0.0	-0.332838371270076	6
mmu-miR-382-3p	0.0	0.0	0.638672591295541	6
mmu-miR-3963	0.0	0.0	-0.325691613307797	6
mmu-miR-425-5p	0.18453477085635397	0.4062676906440129	0.0149061011433602	6
mmu-miR-431-5p	0.0	0.0	-0.09233887543456401	6
mmu-miR-450b-3p	0.226991755019934	0.0	0.7387209683621401	6
mmu-miR-466d-3p	-0.38653680388420497	-0.12957284798415	-0.224777257647281	6
mmu-miR-466g	-0.539689170719589	-0.38843614848388397	-0.258907539787901	6
mmu-miR-466h-5p	0.4749601734137	-0.24481269269337602	-0.44941129622763204	6
mmu-miR-466i-3p	-0.23065389990076102	-0.45817644389739404	0.0543709786448286	6
mmu-miR-466o-3p	-0.631051755349683	0.0635381006483879	-0.4360972696118429	6
mmu-miR-471-5p	0.07703661855915402	0.0	0.513519897791999	6
mmu-miR-483-3p	0.272035421832037	-0.29597670024472994	0.430815930154032	6
mmu-miR-485-3p	0.0	0.0	0.0102058562026377	6
mmu-miR-485-5p	0.0	0.0	0.0	6
mmu-miR-500-5p	0.0	0.0	0.576737069557162	6
mmu-miR-5100	0.0	0.0	0.822218201401353	6
mmu-miR-541-5p	-0.557022392689279	0.0	-0.8182471827239209	6
mmu-miR-542-5p	0.0	0.0	-0.0549401050059014	6
mmu-miR-574-3p	0.0	0.0	0.9895949055792909	6
mmu-miR-652-3p	0.32978535813793297	0.3987485043545271	0.740330669814125	6
mmu-miR-6539	0.156274347090022	-0.15547369770533803	0.221533181957855	6
mmu-miR-669b-3p	0.266610429944727	0.0	-0.0690617501747945	6
mmu-miR-669e-3p	-0.008588901419265391	0.0	-0.134676368658435	6
mmu-miR-669f-5p	0.0366870686174816	0.0	-0.266589165264512	6
mmu-miR-669l-5p	-0.00996487197718653	0.229571090710099	-0.105727714870476	6
mmu-miR-669o-5p	0.246967273594351	0.0	-0.597220355347125	6
mmu-miR-674-5p	-0.0651912409085401	0.0	0.199960303478615	6
mmu-miR-677-3p	0.0	0.0	0.0848848664225723	6
mmu-miR-7021-5p	0.0	0.0	-0.203268481087004	6
mmu-miR-7033-5p	0.0	0.311047354349224	0.298115019292991	6
mmu-miR-706	0.0	0.0	0.40080843405247396	6
mmu-miR-708-5p	0.43863492603530296	0.0	0.6099935505215971	6
mmu-miR-7082-3p	-0.460010764811882	-0.260449460568014	-0.20936276694599498	6
