	diapaused_TE	mTor_TE	paused_TS
mmu-miR-292a-5p	-0.03504609583208028	-0.4457159237934073	0.31691004532248757
mmu-miR-293-3p	0.04136913370616865	-0.1354890497150109	0.16069562698762022
mmu-miR-293-5p	-0.2776636654083947	-0.28849892126800725	0.32184719178296034
mmu-miR-294-3p	0.516678058928258	0.23834442168329856	0.14994427433980476
mmu-miR-294-5p	-0.2591502835255709	-0.7032860807590755	0.349142295018879
mmu-miR-295-3p	0.5906507986551907	0.46451810281323397	-0.11813852156279335
mmu-miR-295-5p	-0.9042218441388162	-1.4302721533217975	0.3514332390300705
mmu-miR-296-3p	-1.518822433838006	-1.892464313987313	0.41714262126352575
mmu-miR-296-5p	-1.0353577864999575	0.25251108167533254	0.5382283323877126
mmu-miR-297b-5p	-1.698706263962403	-0.935263437297577	-0.6443965655685151
mmu-miR-297c-5p	-0.30360370187980695	-0.20894506230550028	0.11407714258393388
mmu-miR-298-5p	-1.0182261602761515	-2.1458602556364594	0.40915200059835904
mmu-miR-299a-5p	0.08256603550808078	0.15020315855089408	0.40151020543546795
mmu-miR-29a-3p	1.6728538836852143	3.784165835673008	0.6834938974125345
mmu-miR-29b-1-5p	0.08256603550808078	0.7553637779002281	1.276365467036894
mmu-miR-300-3p	0.08256603550808078	0.15020315855089408	-1.9059999448590088
mmu-miR-301a-3p	-1.1726205426815033	-1.407014246667751	0.2781292589256407
mmu-miR-301a-5p	-0.4708037489707262	0.056892208328084184	-0.3004572858266787
mmu-miR-301b-3p	-0.7499609150218011	-0.1697649003926174	0.41520915106054584
mmu-miR-302a-3p	0.08256603550808078	0.15020315855089408	-1.0136444754230591
mmu-miR-302a-5p	0.08256603550808078	0.15020315855089408	0.1742554899941775
mmu-miR-302b-3p	0.08256603550808078	0.15020315855089408	-1.088101760844558
mmu-miR-302d-3p	0.08256603550808078	0.15020315855089408	-1.0786355051121272
mmu-miR-3068-3p	0.06866805281609592	0.15020315855089408	0.15082631336500613
mmu-miR-3068-5p	-0.6775875691787041	-0.29878388247806353	-0.4326459055828241
mmu-miR-30a-3p	0.8117641368544685	1.17767172188071	0.34271628280735955
mmu-miR-30a-5p	0.949743486436771	0.3455867406538493	0.010993948497456689
mmu-miR-30b-3p	-0.2159361060954198	-0.28798707878550334	0.13108606602242445
mmu-miR-30b-5p	3.26649894326182	2.176489253326263	0.83696987721402
mmu-miR-30d-5p	2.085962613273423	1.9791100004069389	2.0743274365494115
mmu-miR-30e-3p	-0.5791316462961253	1.565452552858365	1.059084371230555
mmu-miR-30e-5p	-0.9099724602638573	0.9614869426134349	0.8867914470691686
mmu-miR-31-5p	-0.11292105066955693	-0.9114763830207548	0.5036728539586297
mmu-miR-3102-3p	0.06960172711859702	0.15020315855089408	0.90268267316142
mmu-miR-32-5p	0.3244397376294663	-0.20692629830418255	0.4454346651309785
mmu-miR-320-3p	-0.7490293408587593	1.5426177488363209	-0.5978710330180683
mmu-miR-322-3p	-0.46562761346525405	-0.010009861679180802	-0.010615416685021892
mmu-miR-322-5p	0.35517595475586494	0.12445799456468754	-0.8015001803704418
mmu-miR-323-3p	-1.184151291363647	-0.12487492319852717	-0.6260428489923531
mmu-miR-324-3p	1.9340584791105078	0.984439704616311	0.16009301414486046
mmu-miR-324-5p	1.2930178270938455	-0.9262272525780022	-0.13322303601720173
mmu-miR-328-3p	1.623654266905917	-0.044432171366956395	0.3923282702967617
mmu-miR-329-3p	0.08256603550808078	0.15020315855089408	0.44862585060367627
mmu-miR-33-3p	0.08256603550808078	0.15020315855089408	0.04479873098001147
mmu-miR-33-5p	0.08256603550808078	0.5594491334059586	-0.06800405210677606
mmu-miR-330-3p	-0.11080737393324959	-0.8201411636371004	0.42035309906886875
mmu-miR-330-5p	0.0731789220201898	0.4771692696374061	0.13611073289611406
mmu-miR-331-3p	-0.2903266345723873	-0.4560779632319053	0.2669185297759496
mmu-miR-335-3p	0.08256603550808078	0.15020315855089408	2.0085679657550912
mmu-miR-335-5p	-2.132323229623483	-0.3488905843508604	2.134567187323745
mmu-miR-338-3p	0.08256603550808078	0.9792593686267094	-0.5208818038237875
mmu-miR-339-5p	0.1842340425129093	2.0405664576460074	0.08569885716759641
mmu-miR-340-3p	0.08256603550808078	0.15020315855089408	-0.03318484042803796
mmu-miR-340-5p	0.055638331974392635	-1.0117697820288065	0.6963393777512552
mmu-miR-341-3p	0.08256603550808078	0.15020315855089408	-0.12560318682910318
mmu-miR-342-3p	0.3336015477495783	0.15020315855089408	1.697228874140208
mmu-miR-345-3p	-0.40154649318363206	0.4937686625264752	-0.7514118740526432
mmu-miR-3470b	0.08256603550808078	0.7695600513136556	-1.2452557354103608
mmu-miR-3473b	0.08256603550808078	0.15020315855089408	0.1260539442759257
mmu-miR-3473e	0.08256603550808078	0.15020315855089408	-1.5689956798610543
mmu-miR-34a-3p	-1.045953827018513	-0.4204575302591162	-0.33866469011626116
mmu-miR-34a-5p	2.035607743518411	-0.45933656612111157	-0.6069073201967798
mmu-miR-350-3p	0.025910688461271706	0.15020315855089408	0.26376925913272964
mmu-miR-351-3p	-0.3455620015295507	-2.8615556323900218	-0.3738875641820288
mmu-miR-351-5p	-1.0417467279444514	-3.8308847136514803	0.089368196917565
mmu-miR-3535	-1.5546429202313086	1.2576092027221712	0.04234733718207864
mmu-miR-361-3p	0.14036815243596998	0.15020315855089408	1.6541740339674382
mmu-miR-361-5p	0.826109290211158	1.2257773470109914	0.6699810759872501
mmu-miR-362-3p	0.04389086255558005	0.9522201894732727	0.773826861591131
mmu-miR-362-5p	0.4307680395814828	0.15020315855089408	0.1036917637171922
mmu-miR-367-3p	0.08256603550808078	0.15020315855089408	0.1742554899941775
mmu-miR-369-3p	0.08256603550808078	0.15020315855089408	-0.5253008273925689
mmu-miR-369-5p	0.08256603550808078	0.15020315855089408	-0.8307836035646754
mmu-miR-370-3p	0.08256603550808078	0.15020315855089408	0.1742554899941775
mmu-miR-374b-5p	0.3844053752421358	0.5965213939264057	0.7744942431544782
mmu-miR-376a-3p	0.08256603550808078	0.15020315855089408	-0.7585156482343338
mmu-miR-376b-3p	0.08256603550808078	0.15020315855089408	-2.434042986855434
mmu-miR-378a-3p	0.9130957195290292	0.34587555205244946	0.5007835371429704
mmu-miR-378a-5p	-0.4404362001154799	-1.0998050340030254	0.5092536149461205
mmu-miR-378b	0.08256603550808078	0.15020315855089408	-0.029724389683385907
mmu-miR-378c	0.1678794544170507	0.038445345732705166	1.563317866186787
mmu-miR-379-3p	0.08256603550808078	0.15020315855089408	-2.4096400293181772
mmu-miR-379-5p	0.08256603550808078	0.15020315855089408	-0.1500253323495244
mmu-miR-381-3p	0.08256603550808078	0.15020315855089408	-2.685203185793041
mmu-miR-382-3p	0.08256603550808078	0.15020315855089408	0.7965072824284272
mmu-miR-382-5p	-2.409546418568437	-0.9436248646226453	0.1179526915163897
mmu-miR-3963	0.08256603550808078	0.15020315855089408	-0.14306232342643757
mmu-miR-3968	0.7721768653873314	0.6131343788814256	-1.0796796052808768
mmu-miR-409-3p	-1.6759734443420236	-0.5008784078931017	-0.6051286520011475
mmu-miR-410-3p	0.08256603550808078	0.4649068927133246	-1.6625713095004568
mmu-miR-411-3p	0.08256603550808078	0.15020315855089408	-1.188083054785958
mmu-miR-411-5p	0.08256603550808078	0.15020315855089408	-1.4263963712462204
mmu-miR-421-3p	-1.3423147204112338	-0.3710414081202125	1.5377684402243166
mmu-miR-423-3p	0.6208083142474574	-2.4090519373578316	1.209604223195185
mmu-miR-423-5p	-0.5485815965993113	-0.48706431123524463	0.8908383188684008
mmu-miR-425-5p	0.3415073239696318	0.648067479422661	0.18877834298814605
mmu-miR-429-3p	1.486420630132355	0.22454119551456958	-0.2513846471679555
mmu-miR-431-5p	0.08256603550808078	0.15020315855089408	0.08429072317372054
mmu-miR-433-3p	0.08256603550808078	0.15020315855089408	-0.5520972260893553
mmu-miR-434-3p	0.08256603550808078	1.3626259619807346	-0.46821495913558625
mmu-miR-434-5p	0.08256603550808078	0.15020315855089408	-0.8827973530397114
mmu-miR-450b-3p	0.4010834468460459	0.15020315855089408	0.8939833332380366
mmu-miR-455-5p	0.08256603550808078	0.15020315855089408	-1.7978376536989882
mmu-miR-466d-3p	-0.45982680228127254	-0.008583029597095651	-0.04474255904649732
mmu-miR-466f-3p	-1.5630848006343052	-2.5696684746975125	0.30193813066824415
mmu-miR-466g	-0.674731944630628	-0.3258093418781099	-0.07799532349534762
mmu-miR-466h-3p	0.08256603550808078	0.15020315855089408	1.5485362992650586
mmu-miR-466h-5p	0.7490355507161436	-0.14980471260264822	-0.2636010713005267
mmu-miR-466i-3p	-0.241090139161985	-0.41127320133098394	0.2272285459531316
mmu-miR-466l-3p	0.08256603550808078	0.15020315855089408	-0.8685248142866983
mmu-miR-466m-3p	-1.0689441508057467	-1.60224039298388	-0.7117408124279199
mmu-miR-466n-3p	-0.791660397981094	-0.30771737440508373	0.4082984133560606
mmu-miR-466o-3p	-0.8029329620947547	0.22806648378516667	-0.25062935928547575
mmu-miR-467c-5p	0.1522505076649125	-0.9534364599880281	0.17082408949458555
mmu-miR-467d-5p	-1.2975342510171817	-0.728029572961487	0.15392368971017628
mmu-miR-467e-3p	-0.5044597303472289	0.7679591555068424	-0.20405084094073592
mmu-miR-467e-5p	0.14780909140760057	-0.8279905698981024	0.37546496271131286
mmu-miR-471-5p	0.1906646945079953	0.15020315855089408	0.6745723678541513
mmu-miR-483-3p	0.46428923222314444	-0.21250409643071871	0.5939947874075603
mmu-miR-483-5p	-0.5251165674304124	0.8260471841056186	2.1504218285658547
mmu-miR-484	-1.8041227855435107	-0.6656340795978538	0.5893921737587496
mmu-miR-485-3p	0.08256603550808078	0.15020315855089408	0.18419894521985952
mmu-miR-485-5p	0.08256603550808078	0.15020315855089408	0.1742554899941775
mmu-miR-487b-3p	0.08256603550808078	0.15020315855089408	-0.8659726727091686
mmu-miR-494-3p	0.08256603550808078	0.15020315855089408	-1.0660250509309657
mmu-miR-495-3p	0.08256603550808078	0.15020315855089408	-1.1494990328456973
mmu-miR-497a-5p	0.08256603550808078	0.15020315855089408	-1.8689475688332309
mmu-miR-500-3p	-0.27160471779248163	-2.011063913804822	0.937542148220087
mmu-miR-500-5p	0.08256603550808078	0.15020315855089408	0.7361641740152732
