Gene names	E14_Pause1	E14_Pause2	E14_Pause3	E14_WT1	E14_WT2	E14_WT3
Mrps36	2.3391240662077046	2.5361950640095023	2.689648896640631	2.1605426226762687	2.497506483143826	2.0396230973665137
Msantd2	1.28633367511352	0.0	0.0	1.1067157929994975	0.0	0.0
Mtfr1l	1.266940090815878	0.42516827240332583	0.8369758095093652	0.7604756322224083	0.9437616044438306	0.9036905049528872
Mtg1	0.0	0.0	0.0	1.2407636911740076	1.2482315211220059	1.8693525006040106
Mvb12a	1.164640398418046	0.0	1.1642678395389399	0.0	0.5138025748438675	0.6706330031408553
Mvk	0.7968067965431376	0.5108222251550746	0.5455676044589368	0.5686819628202981	0.6148628949347082	0.6347547716839816
Myo19	0.0	0.0	0.0	0.0	0.0	0.0
Myo6	0.0	0.0	0.0	0.0	0.0	0.0
Myo9a	0.0	6.434604724825129	0.0	0.0	8.87569243045006	0.0
Nadk2	0.7747180313461257	0.7815758215652633	1.1246834003184956	0.0	0.0	0.0
Naprt	0.815790244616962	0.0	0.763206187912338	0.6718472617651985	0.5335051941874204	0.673411452041556
Nbr1	0.0	0.0	0.0	0.0	0.0	0.0
Ncstn	1.107338508861872	1.1433284941269632	0.9693789337984379	0.8204655836543293	0.8196535162423851	0.9864097608117903
Ndrg3	0.6654167276988429	0.37013329813910517	0.882414499127929	0.9345503265784626	1.3485859841335603	0.7331783039381493
Ndufa7	1.5158927786729164	1.5056420746997492	1.1625085311291423	1.3036677273488528	1.4145682763277019	1.645415559313844
Ndufaf4	0.0	0.7060842021908407	0.7770076590581634	0.9559202813599063	0.0	0.0
Ndufb5	2.0534641863190273	3.5007258809555233	3.143095472814135	0.0	4.146449999232764	3.0408915196907467
Ndufb9	2.5012157609491723	1.9322291144252342	2.977174490028058	2.7425556858147715	3.4700547806472404	3.0209591688813724
Ndufc2	2.586582686392266	4.575359641018873	4.706453325244559	5.0460559370289735	3.6560327763200293	3.1160908431988403
Ndufs3	3.7061666910795372	4.285667150587304	3.4979904451353607	3.0974041199129125	2.4411299851156225	4.548502053636144
Ndufs6	2.0104877691518968	2.2036426026131712	1.8863729430499734	3.1337464411321387	2.90346637204806	2.8823689296931625
Ndufs8	0.0	0.0	0.9489345567604459	1.4139340144029475	1.0733017232119566	1.395415559313844
Necap1	1.7386553390947708	1.1662267388148344	1.1942670812163494	2.6334617317032323	2.9884761159446978	3.8614399613433195
Nefh	0.0	0.0	0.4775612345491772	0.0	0.889226472709417	0.0
Nek7	0.4858063571114692	0.0	0.0	0.0	0.4282404210590925	0.5276032858178304
Nek9	0.35948440017577266	0.0	0.4406764237506635	0.0	0.36597155089076094	0.29814568736409763
Nes	0.0	0.0	0.0	0.0	0.0	0.0
Nfkb2	0.10831404716566574	0.0	0.16910897095624478	0.0	0.1976829474136476	0.1479312635902392
Ngrn	0.0	0.0	0.0	0.0	0.0	0.0
Nmnat1	1.5102094624285924	1.8814504421274911	0.5253052248426481	1.6215039356891643	0.5902806549126118	0.7885962792945156
No66	0.7400029295444558	0.7641216840438169	0.5634640175930841	0.5245017584994138	0.5821172643434762	0.5851654989127809
Nqo1	0.8892339241247986	1.8799326910386696	1.836414650792447	1.2931502260927819	1.255566296858936	1.0757127325440927
Nsun4	0.685864948000586	0.0	0.4919390308637294	0.7408809244682633	0.7228590280654913	0.7908009180961585
Nudt16l1	0.6898491284605244	0.7798930975320048	0.8361264882080838	1.1483168648467594	0.8133621814052694	0.5667431746798743
Nup62cl	0.0	0.0	0.0	0.0	0.0	0.0
Nusap1	1.1288999560568331	1.1270291672165764	0.9192993099264427	1.1138837715625522	0.9915450597676809	1.082538052669727
Obsl1	0.0	0.0	0.0	0.0	0.5525940247663766	0.5035938632519933
Ogfod1	0.5273765929397979	0.0	0.5172670053840904	0.0	1.0784268593963386	1.1030140130466297
Optn	0.0	0.0	0.0	0.0	0.0	0.0
Osbpl2	0.2232371466237	0.0	0.20050655949040722	0.0	0.0	0.0
Pan2	0.0	0.2247723373366768	0.0	0.5528722157092615	0.0	0.5100265764677459
Pank4	0.0	0.0	0.3513763555016304	0.0	0.0	0.3783522589997584
